
Valores Confirmados

Fecha;CAPITAL;;CUPRUM;;HABITAT;;MODELO;;PLANVITAL;;PROVIDA;;UNO
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2022-01-01;61.704,96;5357052467231;64.440,60;6504200351504;65.673,90;7986018458513;63.284,31;1527177970261;59.867,49;696135584129;64.731,17;4547706450942;65.594,49;186366638370
2022-01-02;61.704,96;5357052467231;64.440,60;6504200351504;65.673,90;7986018458513;63.284,31;1527177970261;59.867,49;696135584129;64.731,17;4547706450942;65.594,49;186366638370
2022-01-03;61.488,82;5345978012075;64.224,57;6495842392266;65.460,01;7964800835212;63.073,05;1522305908224;59.662,60;695384110897;64.506,28;4533143844567;65.355,67;185193096559
2022-01-04;61.947,16;5391473186074;64.677,23;6546990703531;65.948,43;8032483194353;63.545,09;1536895773634;60.130,90;701373422726;64.963,75;4567062733825;65.859,55;186929539996
2022-01-05;61.939,85;5410857210511;64.648,24;6551947176635;65.954,70;8038612441317;63.554,65;1539530405369;60.139,71;701866566974;64.947,34;4585119894645;65.813,40;186912191204
2022-01-06;60.744,16;5306931577394;63.443,27;6429977815230;64.728,73;7888465938746;62.355,97;1510710998170;59.011,64;689046199806;63.723,17;4498660271508;64.573,22;183408860971
2022-01-07;60.198,62;5262104424579;62.885,58;6375513404062;64.134,71;7819496478901;61.794,59;1498000770207;58.492,51;683420112430;63.186,95;4460980316260;63.986,11;181816131626
2022-01-08;60.198,62;5262104424579;62.885,58;6375513404062;64.134,71;7819496478901;61.794,59;1498000770207;58.492,51;683420112430;63.186,95;4460980316260;63.986,11;181816131626
2022-01-09;60.198,62;5262104424579;62.885,58;6375513404062;64.134,71;7819496478901;61.794,59;1498000770207;58.492,51;683420112430;63.186,95;4460980316260;63.986,11;181816131626
2022-01-10;59.804,33;5217951804599;62.451,38;6335666492624;63.704,42;7774827028160;61.361,78;1489266148226;58.114,93;679880805541;62.747,87;4432823903991;63.510,84;180578317630
2022-01-11;59.653,78;5210158061584;62.267,23;6320990034049;63.510,33;7757674000137;61.173,18;1487098864431;57.957,12;678900122400;62.555,73;4405379317153;63.312,45;180243738502
2022-01-12;59.965,43;5244124293434;62.600,81;6362787113365;63.823,16;7801421677892;61.514,22;1498772519302;58.271,46;684213612264;62.901,24;4430928663215;63.637,34;181766331730
2022-01-13;60.273,27;5281043240169;62.926,88;6406820192016;64.164,85;7850667792647;61.835,93;1508938175331;58.548,05;688779147217;63.196,32;4464789925568;64.002,96;183244077456
2022-01-14;59.788,97;5240389848960;62.454,55;6359490967847;63.659,00;7779762443222;61.340,91;1496915329857;58.100,45;683947874346;62.671,16;4429889721000;63.481,40;181906341488
2022-01-15;59.788,97;5240389848960;62.454,55;6359490967847;63.659,00;7779762443222;61.340,91;1496915329857;58.100,45;683947874346;62.671,16;4429889721000;63.481,40;181906341488
